# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 216433608
# output
#   file = o3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.0104206
# Diagonal elements of inverse mass matrix:
# 1.32445, 1.43398, 1.00355, 1.07345, 1.71643, 1.33557, 0.178372, 0.727218, 0.8116, 20.8496, 0.2537, 0.0407691, 4.18031, 0.216917, 0.00759749, 0.747556, 0.0715586, 0.0577856, 0.25836, 1.00529, 0.0790404, 0.050814, 0.00268381, 0.304713, 0.0834841, 0.0393361, 0.0992236
6.02572,0.558489,0.0104206,8,255,0,11.1847,0.30847,0.475014,2.32058,2.20868,0.0917323,0.7242,0.525157,1.6709,1.52075,11.0514,0.75851,0.938818,7.56606,-1.17358,0.221377,0.547664,0.896328,-0.091054,1.50317,-1.01141,0.487542,0.438109,0.114488,-0.149119,0.768356,0.383162,0.144057
-0.799322,0.982755,0.0104206,8,255,0,7.28068,0.395179,0.0384943,1.10423,1.146,0.740387,0.454815,1.52016,0.0657657,0.34407,11.413,-0.10525,0.907036,5.00914,-1.33719,0.226288,-1.38677,0.572848,-0.0358939,1.59035,-1.69339,0.266815,0.359781,0.065892,0.0725438,1.30633,0.557178,0.090969
4.05617,0.945411,0.0104206,8,255,0,6.43855,0.913867,0.127248,1.53294,1.6422,0.950011,0.865228,1.34141,0.502253,1.53226,11.8521,-0.0994412,0.852188,5.74231,-0.849636,0.191401,-0.398648,0.538332,-0.111688,1.67709,-2.53619,0.518102,0.520535,0.113682,-0.129323,1.21603,0.647709,0.106831
3.34856,0.870595,0.0104206,6,72,1,12.3295,1.36786,0.190813,1.50363,1.96724,1.19239,0.897378,1.31362,0.944653,1.7766,12.6278,-0.00290087,0.801369,6.47794,-0.915654,0.244533,-0.786896,0.587884,-0.178499,1.74805,-2.26706,0.445418,0.323661,0.0869231,0.0804296,1.34455,0.600586,0.128792
4.21255,0.435137,0.0104206,8,351,1,5.36111,0.238033,0.271317,0.404366,0.891425,0.737731,1.72705,1.06064,0.77255,0.485373,6.29991,0.0125528,0.73121,5.6524,-1.19599,0.185314,-0.290238,1.27287,0.169568,1.75134,0.0735398,0.260258,0.437112,0.115204,0.0269535,0.875648,0.122348,0.152072
2.25122,0.530713,0.0104206,9,511,0,8.25271,0.316067,0.442835,2.5414,0.374295,0.705916,0.202258,0.143128,2.23061,0.946555,4.00501,0.104572,1.16435,7.45947,-1.3921,0.265043,-0.12979,1.46661,-0.0785257,0.988181,-0.625366,0.805068,0.542694,0.0751227,0.10442,1.0134,0.432801,0.0784134
2.47922,0.87729,0.0104206,6,97,1,10.2076,0.335185,0.205852,2.80359,0.561112,0.861855,0.274882,0.228243,2.24902,0.432032,6.97834,0.174796,1.10484,6.97847,-1.3374,0.320775,-0.449326,1.36359,-0.116951,0.798448,-0.631314,0.700507,0.575782,0.0870696,0.235768,0.97403,0.447678,0.0667345
2.9139,0.896795,0.0104206,8,255,0,15.4386,2.88989,1.03331,0.503261,1.4724,1.30635,1.11983,0.0173225,0.761084,-0.322481,4.61321,0.539195,1.09164,5.28956,-0.729066,0.20631,0.0416532,1.17928,-0.167979,1.45509,1.84561,0.913215,0.384379,0.138858,-0.46406,0.597263,0.291557,0.123586
2.9139,6.79916e-006,0.0104206,8,255,0,16.7538,2.88989,1.03331,0.503261,1.4724,1.30635,1.11983,0.0173225,0.761084,-0.322481,4.61321,0.539195,1.09164,5.28956,-0.729066,0.20631,0.0416532,1.17928,-0.167979,1.45509,1.84561,0.913215,0.384379,0.138858,-0.46406,0.597263,0.291557,0.123586
2.85739,0.47257,0.0104206,6,120,1,8.92671,1.35864,1.38387,0.219154,1.89924,2.06683,0.718486,0.0194131,1.06969,-0.384932,4.04218,0.311945,1.10081,3.77781,-0.873792,0.188816,0.0310866,1.16054,-0.178954,1.40709,1.4531,0.978697,0.221107,0.119867,-0.308263,0.491107,0.427479,0.127701
3.64713,0.985408,0.0104206,6,79,1,5.22025,1.74266,1.13657,0.1698,2.32448,1.76754,0.825623,0.172432,0.981576,-0.144281,4.19307,0.218875,1.0707,4.44568,-0.841859,0.166681,0.099973,1.08287,-0.171155,1.39226,1.3201,0.950448,0.118488,0.10937,-0.32659,0.517026,0.401061,0.137793
1.0114,0.468053,0.0104206,4,26,1,7.78781,1.62324,1.07088,0.167103,2.28784,1.88501,0.907867,0.18134,0.994429,-0.141912,4.14255,0.185814,1.06569,4.4349,-0.82908,0.16594,0.0778898,1.09427,-0.177783,1.39533,1.32826,0.945731,0.113487,0.108852,-0.350476,0.530383,0.403137,0.136351
8.59922,0.658092,0.0104206,8,511,0,7.59096,0.634245,0.510164,0.241932,1.23195,0.545299,1.49023,-0.161056,1.5154,0.182747,3.03338,0.337501,1.01792,3.57049,-0.806041,0.230864,-0.154515,0.844034,0.0458561,1.16878,-0.669417,0.502635,0.335059,0.0541106,-0.374812,0.724657,0.4092,0.0967712
